,index,mismatch,hpv16_cin_fn_k,hpv16_dur_cin_par1,hpv18_cin_fn_k,hpv18_dur_cin_par1,hi5_cin_fn_k,hi5_dur_cin_par1,hi5_rel_beta,beta,f_cross_layer,m_cross_layer
1952,1952,21.335740420777803,5.404816534272135e-05,7.241045574105921,0.5329196596274582,1.2014964689205228,0.050962753125012625,8.745266716409,0.30396509750104495,0.4773574826590563,0.03930703645611505,0.5324280119337027
4086,4086,21.33575083534353,0.00023761903610774028,8.560318899264521,0.5993831811914244,1.169559016532986,0.022217674815274337,3.245878277888948,0.2517077572328611,0.49149300238800253,0.06124528287717336,0.672564513888263
1647,1647,21.339956187997952,0.0004988399679268882,6.884779860448258,0.5287172167403988,1.0970100426131266,0.04225933634877713,8.488979200649814,0.22560942467571635,0.4962461176451299,0.0380516515493763,0.6697980262218907
4763,4763,21.341339467214496,0.00017046220620838226,7.155100804104275,0.7711195111628286,1.471630690337575,0.10791113679319737,9.40938293592933,0.32498355554647823,0.44196523561872253,0.020200178165519042,0.7660340382980471
2624,2624,21.346346223107926,0.00017121814839605708,2.9675700840431904,0.5198842572927869,1.4856031725410948,0.05106141313520981,8.670810396209507,0.25365503286339064,0.47916689329513745,0.017090698078548794,0.6865492964388512
1764,1764,21.351065687997963,0.0006349927716532546,6.249430587183935,0.5423983413232671,1.4269035915406798,0.03381598421294429,8.400064459491148,0.26267395317060604,0.4796581377800958,0.020084675733879634,0.669794500962789
3895,3895,21.352101451684327,0.0007816918593018793,9.180910065021237,0.5997839394717421,2.2694725770619186,0.04839362605544191,1.1647655305037556,0.7603202075549862,0.43594854736881133,0.03021575095689256,0.7988359104390822
2211,2211,21.3632465930577,0.0007186400534744018,7.728636397504057,0.5102644070132654,1.320278486574944,0.03871813906671598,9.326508590106213,0.3745705611368263,0.4610196125844581,0.029240554210760723,0.600461993529282
3414,3414,21.380985322630217,1.2704424906663991e-05,5.681069919639528,0.5221489463530503,1.5381277247182434,0.06396638357750303,8.613673870623241,0.29369255097006197,0.48182217794523846,0.01941557871746309,0.741132139377234
3607,3607,21.39726863527013,0.0004024169480557661,6.2370901575071365,0.3538798740512777,1.4748824123305555,0.02715237581339078,8.750134424909307,0.12050990086063275,0.49980870375551184,8.231949213323837e-05,0.725031958827208
